Component,Sample,Well Location,Volume,Concentration,Target Volume,Speed,Transfer Volume,Percent,Mass per ul,Diluent,Delute
Water,Sample 0,"reagent_rack.wells(""A1"")",1500,1,50,10,45,N,N,N,N
,Sample 1,"reagent_rack.wells(""A1"")",1500,1,50,10,45,N,N,N,N
,Sample 2,"reagent_rack.wells(""A1"")",1500,1,50,10,45,N,N,N,N
Dye,Sample 0,"reagent_rack.wells(""A2"")",1500,100,50,10,,Y,N,N,N
,Sample 1,"reagent_rack.wells(""A2"")",1500,100,50,10,,Y,N,N,N
,Sample 2,"reagent_rack.wells(""A2"")",1500,100,50,10,,Y,N,N,N
Sample_0,Sample 0,"mixing_rack.wells(""A1"")",50,100,50,10,,Y,N,N,N
,Sample 1,"mixing_rack.wells(""A1"")",50,100,50,10,,Y,N,N,N
,Sample 2,"mixing_rack.wells(""A1"")",50,100,50,10,,Y,N,N,N
Sample_1,Sample 0,"mixing_rack.wells(""B1"")",50,100,50,10,,Y,N,N,N
,Sample 1,"mixing_rack.wells(""B1"")",50,100,50,10,,Y,N,N,N
,Sample 2,"mixing_rack.wells(""B1"")",50,100,50,10,,Y,N,N,N
Sample_2,Sample 0,"mixing_rack.wells(""C1"")",50,100,50,10,,Y,N,N,N
,Sample 1,"mixing_rack.wells(""C1"")",50,100,50,10,,Y,N,N,N
,Sample 2,"mixing_rack.wells(""C1"")",50,100,50,10,,Y,N,N,N
Sample_3,Sample 0,"mixing_rack.wells(""D1"")",50,100,50,10,,Y,N,N,N
,Sample 1,"mixing_rack.wells(""D1"")",50,100,50,10,,Y,N,N,N
,Sample 2,"mixing_rack.wells(""D1"")",50,100,50,10,,Y,N,N,N
Sample_4,Sample 0,"mixing_rack.wells(""E1"")",50,100,50,10,,Y,N,N,N
,Sample 1,"mixing_rack.wells(""E1"")",50,100,50,10,,Y,N,N,N
,Sample 2,"mixing_rack.wells(""E1"")",50,100,50,10,,Y,N,N,N
Sample_5,Sample 0,"mixing_rack.wells(""F1"")",50,100,50,10,,Y,N,N,N
,Sample 1,"mixing_rack.wells(""F1"")",50,100,50,10,,Y,N,N,N
,Sample 2,"mixing_rack.wells(""F1"")",50,100,50,10,,Y,N,N,N
Sample_6,Sample 0,"mixing_rack.wells(""G1"")",50,100,50,10,,Y,N,N,N
,Sample 1,"mixing_rack.wells(""G1"")",50,100,50,10,,Y,N,N,N
,Sample 2,"mixing_rack.wells(""G1"")",50,100,50,10,,Y,N,N,N
Sample_7,Sample 0,"mixing_rack.wells(""H1"")",50,100,50,10,,Y,N,N,N
,Sample 1,"mixing_rack.wells(""H1"")",50,100,50,10,,Y,N,N,N
,Sample 2,"mixing_rack.wells(""H1"")",50,100,50,10,,Y,N,N,N
Sample_8,Sample 0,"mixing_rack.wells(""A2"")",50,100,50,10,,Y,N,N,N
,Sample 1,"mixing_rack.wells(""A2"")",50,100,50,10,,Y,N,N,N
,Sample 2,"mixing_rack.wells(""A2"")",50,100,50,10,,Y,N,N,N
Sample_9,Sample 0,"mixing_rack.wells(""B2"")",50,100,50,10,,Y,N,N,N
,Sample 1,"mixing_rack.wells(""B2"")",50,100,50,10,,Y,N,N,N
,Sample 2,"mixing_rack.wells(""B2"")",50,100,50,10,,Y,N,N,N
